Detail,Value,ds,amount_paid,Number_of_Months,reading_fee_paid,payable_amount,id,Transaction_Year,day_of_week,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Number_of_Months,Number_of_Months_lower,Number_of_Months_upper,Transaction_Year,Transaction_Year_lower,Transaction_Year_upper,additive_terms,additive_terms_lower,additive_terms_upper,amount_paid,amount_paid_lower,amount_paid_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,id,id_lower,id_upper,payable_amount,payable_amount_lower,payable_amount_upper,reading_fee_paid,reading_fee_paid_lower,reading_fee_paid_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
,,2024-08-25,15189.582481751826,1.5503649635036498,14474.943091970805,19563.293430656937,21022113.51459854,1022.7481751824818,6,2024-08-25,18288.465249455166,342099.54510171426,347522.89931035537,18288.465249455166,18288.465249455166,-615.6886336397811,-615.6886336397811,-615.6886336397811,141172.61314491933,141172.61314491933,141172.61314491933,326545.3642953599,326545.3642953599,326545.3642953599,3251.3770511330345,3251.3770511330345,3251.3770511330345,-10119.283398,-10119.283398,-10119.283398,336719.82081800536,336719.82081800536,336719.82081800536,201344.23930509825,201344.23930509825,201344.23930509825,934.3730023951451,934.3730023951451,934.3730023951451,-9367.093051900634,-9367.093051900634,-9367.093051900634,67.49509607477052,67.49509607477052,67.49509607477052,-122.6682207202633,-122.6682207202633,-122.6682207202633,0.0,0.0,0.0,344833.82954481506
,,2024-08-26,18567.452554744526,1.686131386861314,17970.83182481752,20135.56204379562,23357912.686131388,1136.3868613138686,0,2024-08-26,18288.101445048098,303509.5838773785,308895.038474031,18288.101445048098,18288.101445048098,-588.4525798804085,-588.4525798804085,-588.4525798804085,125114.48266584412,125114.48266584412,125114.48266584412,287948.1076074964,287948.1076074964,287948.1076074964,2888.718398699268,2888.718398699268,2888.718398699268,-10119.283398,-10119.283398,-10119.283398,298492.54278229584,298492.54278229584,298492.54278229584,178440.99977159282,178440.99977159282,178440.99977159282,917.8106311689395,917.8106311689395,917.8106311689395,-8281.01610512891,-8281.01610512891,-8281.01610512891,-306.3887284009224,-306.3887284009224,-306.3887284009224,-118.76304839857748,-118.76304839857748,-118.76304839857748,0.0,0.0,0.0,306236.2090525445
,,2024-08-27,33619.25547445256,3.0437956204379564,33158.416058394156,45110.71532846716,23357923.226277374,1136.3868613138686,1,2024-08-27,18287.73764064103,306584.9537108174,312096.1448458552,18287.73764064103,18287.73764064103,-316.0920422866836,-316.0920422866836,-316.0920422866836,125114.48266584412,125114.48266584412,125114.48266584412,290847.8068644664,290847.8068644664,290847.8068644664,1272.709953849964,1272.709953849964,1272.709953849964,-10119.283398,-10119.283398,-10119.283398,301144.33728197013,301144.33728197013,301144.33728197013,178440.89642217342,178440.89642217342,178440.89642217342,194.98965053991188,194.98965053991188,194.98965053991188,-3562.6493681505826,-3562.6493681505826,-3562.6493681505826,-64.71583002185797,-64.71583002185797,-64.71583002185797,-112.53118948188688,-112.53118948188688,-112.53118948188688,0.0,0.0,0.0,309135.54450510745
,,2024-08-28,19220.788321167885,1.9489051094890513,18791.38686131387,21271.014598540147,23357937.70072993,1136.3868613138686,2,2024-08-28,18287.37383623396,304101.8951542204,309557.3489449452,18287.37383623396,18287.374332100506,-535.7376371203327,-535.7376371203327,-535.7376371203327,125114.48266584412,125114.48266584412,125114.48266584412,288531.3238007061,288531.3238007061,288531.3238007061,2818.5742358043485,2818.5742358043485,2818.5742358043485,-10119.283398,-10119.283398,-10119.283398,298696.93045996345,298696.93045996345,298696.93045996345,178440.7544956508,178440.7544956508,178440.7544956508,884.9488136768364,884.9488136768364,884.9488136768364,-8026.092113892378,-8026.092113892378,-8026.092113892378,58.171106887012485,58.171106887012485,58.171106887012485,-104.49436814438504,-104.49436814438504,-104.49436814438504,0.0,0.0,0.0,306818.69763694005
,,2024-08-29,24647.262773722632,3.131386861313869,24059.547744525553,30126.335766423363,23357948.70072993,1136.3868613138686,3,2024-08-29,18287.010031826896,304835.18299258384,310353.4632932077,18287.008826664554,18287.192972334695,-298.5203946999916,-298.5203946999916,-298.5203946999916,125114.48266584412,125114.48266584412,125114.48266584412,289363.229006729,289363.229006729,289363.229006729,2235.971036183291,2235.971036183291,2235.971036183291,-10119.283398,-10119.283398,-10119.283398,299731.8228480963,299731.8228480963,299731.8228480963,178440.6466372193,178440.6466372193,178440.6466372193,628.6616206655799,628.6616206655799,628.6616206655799,-6389.418717115924,-6389.418717115924,-6389.418717115924,-154.09129851004957,-154.09129851004957,-154.09129851004957,-95.2191448573102,-95.2191448573102,-95.2191448573102,0.0,0.0,0.0,307650.2390385559
,,2024-08-30,22754.51094890511,2.343065693430657,23098.569343065694,24285.029197080294,23357960.19708029,1136.3868613138686,4,2024-08-30,18286.646227419827,305160.46790365985,310584.29906320036,18286.538266856907,18287.062976169316,-456.6652229802191,-456.6652229802191,-456.6652229802191,125114.48266584412,125114.48266584412,125114.48266584412,289588.5172202363,289588.5172202363,289588.5172202363,2439.182767643323,2439.182767643323,2439.182767643323,-10119.283398,-10119.283398,-10119.283398,299647.2841165631,299647.2841165631,299647.2841165631,178440.5339119177,178440.5339119177,178440.5339119177,797.7183985952961,797.7183985952961,797.7183985952961,-6687.968404457148,-6687.968404457148,-6687.968404457148,145.81436054283398,145.81436054283398,145.81436054283398,-85.29785886961105,-85.29785886961105,-85.29785886961105,0.0,0.0,0.0,307875.16344765614
,,2024-08-31,19196.441605839416,1.754014598540146,19425.39004379562,19058.268613138687,21022173.860583942,1022.7481751824818,5,2024-08-31,18286.28242301276,343516.96162518003,349016.48463657376,18286.012936072915,18286.881510878724,-574.8345530007224,-574.8345530007224,-574.8345530007224,141172.61314491933,141172.61314491933,141172.61314491933,327941.5817593592,327941.5817593592,327941.5817593592,2821.1881749972163,2821.1881749972163,2821.1881749972163,-10119.283398,-10119.283398,-10119.283398,337882.47891338984,337882.47891338984,337882.47891338984,201343.64759388636,201343.64759388636,201343.64759388636,948.9892303589822,948.9892303589822,948.9892303589822,-7829.124677771313,-7829.124677771313,-7829.124677771313,253.7152934269708,253.7152934269708,253.7152934269708,-75.32904945760062,-75.32904945760062,-75.32904945760062,0.0,0.0,0.0,346227.864182372
,,2024-09-01,15655.62481751825,1.8131386861313867,15693.7401459854,16923.66569343066,21022308.998540144,1022.7481751824818,6,2024-09-01,18285.918618605694,342613.7254117118,348089.6186010111,18285.47385013795,18286.71394273139,-562.9736908797054,-562.9736908797054,-562.9736908797054,141172.61314491933,141172.61314491933,141172.61314491933,327057.9388999676,327057.9388999676,327057.9388999676,3201.34129433544,3201.34129433544,3201.34129433544,-10119.283398,-10119.283398,-10119.283398,337175.62516816077,337175.62516816077,337175.62516816077,201342.32252406926,201342.32252406926,201342.32252406926,1010.768061427215,1010.768061427215,1010.768061427215,-8988.446165710797,-8988.446165710797,-8988.446165710797,67.49509607437143,67.49509607437143,67.49509607437143,-65.89796626757679,-65.89796626757679,-65.89796626757679,0.0,0.0,0.0,345343.8575185733
,,2024-09-02,24842.70802919708,2.802919708029197,24802.238175182483,29369.912408759126,23358131.613138687,1136.3868613138686,0,2024-09-02,18285.554814198626,305173.0399774779,310309.98206392216,18284.906964097518,18286.852606348664,-364.4140731500864,-364.4140731500864,-364.4140731500864,125114.48266584412,125114.48266584412,125114.48266584412,289412.5478423003,289412.5478423003,289412.5478423003,2214.987424782234,2214.987424782234,2214.987424782234,-10119.283398,-10119.283398,-10119.283398,299895.7777391772,299895.7777391772,299895.7777391772,178438.8531239916,178438.8531239916,178438.8531239916,650.5537254677209,650.5537254677209,650.5537254677209,-6158.685127758341,-6158.685127758341,-6158.685127758341,-306.3887284012467,-306.3887284012467,-306.3887284012467,-57.55777047561874,-57.55777047561874,-57.55777047561874,0.0,0.0,0.0,307698.10265649896
,,2024-09-03,17762.43795620438,2.6715328467153285,17617.868613138686,21142.036496350367,23358144.489051096,1136.3868613138686,1,2024-09-03,18285.191009791557,303825.9165593414,309251.3117999433,18284.134261888423,18286.68552136645,-390.7715445301243,-390.7715445301243,-390.7715445301243,125114.48266584412,125114.48266584412,125114.48266584412,288400.78356922127,288400.78356922127,288400.78356922127,2975.1472734598137,2975.1472734598137,2975.1472734598137,-10119.283398,-10119.283398,-10119.283398,298635.59479879274,298635.59479879274,298635.59479879274,178438.72687165375,178438.72687165375,178438.72687165375,888.6816467546502,888.6816467546502,888.6816467546502,-8390.672114389461,-8390.672114389461,-8390.672114389461,-64.71583002175858,-64.71583002175858,-64.71583002175858,-50.8120015497555,-50.8120015497555,-50.8120015497555,0.0,0.0,0.0,306685.97457901284
,,2024-09-04,20789.21897810219,1.248175182481752,20376.944197080295,25136.532846715327,23358154.218978103,1136.3868613138686,2,2024-09-04,18284.82720538449,304202.31728212856,309501.1693392516,18283.286833154234,18286.771804789485,-676.3108178138682,-676.3108178138682,-676.3108178138682,125114.48266584412,125114.48266584412,125114.48266584412,288659.3464899607,288659.3464899607,288659.3464899607,2650.1826351245572,2650.1826351245572,2650.1826351245572,-10119.283398,-10119.283398,-10119.283398,298766.5576211367,298766.5576211367,298766.5576211367,178438.6314666842,178438.6314666842,178438.6314666842,773.0745176940268,773.0745176940268,773.0745176940268,-7533.5028463963135,-7533.5028463963135,-7533.5028463963135,58.171106887473776,58.171106887473776,58.171106887473776,-46.09884006350635,-46.09884006350635,-46.09884006350635,0.0,0.0,0.0,306944.1736953452
